                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.92128,                 1.4076,                0.69414,                0.91318,                0.73241,                0.80435,                0.87055,                0.66421,                0.77407,                0.80298,                0.88187,                0.60909,                0.91459,                 1.3348,                0.84519,                0.92135,              0.0014029,              0.0014029,              0.0014029
                     67,                0.88805,                 1.3172,                0.72202,                0.91212,                0.81045,                0.79348,                0.88485,                0.68583,                0.83811,                0.81159,                0.89749,                0.62915,                0.86622,                 1.3527,                0.73985,                0.91867,              0.0013988,              0.0013988,              0.0013988
                     68,                0.93801,                 1.3645,                0.73162,                0.91184,                 0.8073,                0.85098,                 0.8846,                 0.6583,                 0.8356,                0.84535,                 0.8879,                0.61854,                0.94884,                 1.3618,                0.74278,                0.92947,              0.0013947,              0.0013947,              0.0013947
                     69,                 0.8991,                 1.2554,                0.67097,                0.89834,                0.80613,                0.81764,                0.88124,                 0.6628,                0.83206,                 0.8391,                0.89656,                0.62072,                0.90829,                 1.3214,                0.77992,                 0.9168,              0.0013906,              0.0013906,              0.0013906
                     70,                0.92766,                 1.2932,                0.69197,                0.89594,                0.80197,                0.85046,                0.88429,                0.67201,                0.82149,                0.86232,                0.90688,                0.63276,                0.89965,                 1.2912,                0.73342,                 0.9216,              0.0013864,              0.0013864,              0.0013864
                     71,                 0.9122,                 1.4211,                0.67609,                0.90347,                0.81906,                0.86141,                0.89138,                0.64517,                0.83279,                0.86462,                 0.8938,                 0.5921,                 1.0306,                 1.4401,                0.74549,                0.94088,              0.0013823,              0.0013823,              0.0013823
                     72,                0.91463,                 1.3115,                0.65718,                0.90479,                0.81103,                0.85871,                0.87183,                0.64868,                0.80511,                0.86388,                0.86139,                0.61404,                0.91033,                 1.3243,                0.80576,                0.94217,              0.0013782,              0.0013782,              0.0013782
                     73,                0.91853,                 1.3617,                0.68151,                0.91322,                0.80005,                0.88169,                0.87531,                0.64287,                0.80744,                0.89608,                0.87641,                0.61944,                0.93314,                 1.3606,                0.75443,                0.94271,              0.0013741,              0.0013741,              0.0013741
                     74,                0.89751,                 1.2609,                0.65213,                0.89424,                0.79004,                0.86099,                 0.8777,                0.64573,                0.80173,                0.85012,                0.87163,                0.59413,                 1.0013,                 1.3534,                0.73246,                0.94839,              0.0013699,              0.0013699,              0.0013699
                     75,                0.92124,                 1.3561,                0.66427,                0.89681,                0.82853,                0.86369,                0.89192,                0.67637,                0.83773,                0.85357,                0.89129,                0.61911,                0.94853,                 1.2666,                0.71945,                0.93175,              0.0013658,              0.0013658,              0.0013658
                     76,                0.86575,                 1.2454,                0.64057,                0.89543,                0.84885,                0.84992,                0.89336,                0.66862,                0.86606,                0.84239,                0.89659,                 0.6298,                0.94635,                 1.3534,                0.69881,                 0.9231,              0.0013617,              0.0013617,              0.0013617
                     77,                0.88329,                 1.2996,                0.66282,                0.89408,                0.82982,                0.85249,                0.88831,                 0.6505,                 0.8375,                0.85967,                0.90491,                  0.618,                0.98362,                 1.2902,                0.74456,                0.92659,              0.0013576,              0.0013576,              0.0013576
                     78,                 0.8883,                 1.2594,                0.65119,                0.89415,                0.86163,                0.83775,                0.89275,                0.68046,                0.86594,                0.83775,                0.90105,                0.63012,                0.85901,                 1.2921,                0.73982,                0.91664,              0.0013534,              0.0013534,              0.0013534
                     79,                0.89358,                 1.2221,                0.66631,                0.89352,                0.81807,                0.82568,                0.86185,                 0.6541,                0.81881,                 0.8205,                0.86398,                0.61435,                 0.9248,                 1.3096,                0.82363,                0.92935,              0.0013493,              0.0013493,              0.0013493
                     80,                 0.8591,                 1.1664,                 0.6881,                0.89429,                0.82824,                0.85377,                0.89856,                0.68471,                0.87307,                0.80532,                0.88966,                0.61649,                0.89999,                 1.2732,                  0.706,                0.91032,              0.0013452,              0.0013452,              0.0013452
                     81,                0.88688,                 1.2842,                0.63658,                0.88711,                0.83559,                 0.8549,                0.88831,                0.67077,                0.82774,                0.84765,                0.87697,                0.60824,                0.89135,                 1.3111,                0.76965,                0.91028,              0.0013411,              0.0013411,              0.0013411
                     82,                0.86203,                   1.24,                0.62966,                0.88426,                0.84327,                0.83201,                0.89975,                0.67237,                0.83562,                0.82114,                0.88813,                0.60499,                0.90264,                  1.268,                0.76543,                0.91643,              0.0013369,              0.0013369,              0.0013369
                     83,                0.87255,                 1.2696,                0.65729,                0.89925,                 0.8057,                0.85004,                0.89535,                0.66565,                0.83359,                0.81389,                0.88194,                0.61232,                 0.9244,                 1.2988,                0.76574,                0.92255,              0.0013328,              0.0013328,              0.0013328
                     84,                0.88789,                 1.2581,                 0.6598,                0.89569,                 0.8296,                 0.8389,                 0.9003,                0.69221,                0.83698,                0.84615,                0.90854,                0.63075,                0.90172,                 1.3131,                 0.7039,                0.91735,              0.0013287,              0.0013287,              0.0013287
