                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.82622,                 1.2259,                0.66436,                0.88285,                0.84645,                 0.7369,                0.86335,                0.59016,                0.85382,                 0.7421,                0.87646,                0.52744,                0.88811,                 1.3118,                0.70008,                0.92355,              0.0011885,              0.0011885,              0.0011885
                     71,                0.81503,                 1.1561,                0.66626,                0.88227,                0.87113,                0.71669,                0.84366,                0.57141,                0.74584,                0.80181,                0.84617,                0.47794,                 0.9125,                 1.4138,                0.72153,                0.92907,               0.001185,               0.001185,               0.001185
                     72,                 0.8105,                 1.1477,                0.62621,                0.89277,                0.75122,                0.81711,                 0.8598,                0.61467,                0.73825,                0.80731,                0.85968,                 0.5146,                0.85185,                 1.3296,                0.68741,                 0.9102,              0.0011814,              0.0011814,              0.0011814
                     73,                0.82027,                 1.2185,                0.63523,                0.89122,                0.75869,                0.81833,                0.84296,                0.58313,                  0.736,                0.78893,                0.82542,                0.49276,                0.87316,                 1.3587,                0.72692,                0.91686,              0.0011779,              0.0011779,              0.0011779
                     74,                0.81139,                 1.1646,                0.61992,                0.88258,                0.70056,                0.81254,                0.80136,                0.55773,                0.70272,                0.81994,                0.81468,                0.47251,                0.89785,                 1.3312,                0.73673,                0.92391,              0.0011744,              0.0011744,              0.0011744
                     75,                0.78854,                 1.1183,                0.63009,                0.88521,                0.71722,                0.80936,                0.82438,                0.57351,                 0.7089,                 0.8038,                0.82799,                0.48897,                0.87744,                 1.3157,                0.74341,                0.92286,              0.0011708,              0.0011708,              0.0011708
                     76,                0.81907,                 1.1908,                0.64086,                0.89949,                0.82574,                0.76104,                 0.8467,                 0.5747,                0.81846,                0.74899,                0.83665,                0.47624,                0.92699,                  1.401,                0.75308,                0.93063,              0.0011673,              0.0011673,              0.0011673
                     77,                 0.8317,                 1.2434,                0.67329,                0.88702,                0.78223,                0.79685,                0.84005,                0.56625,                0.77528,                0.79195,                0.84509,                0.49891,                0.89328,                 1.3214,                0.76574,                0.93292,              0.0011637,              0.0011637,              0.0011637
                     78,                0.82941,                 1.1538,                0.68121,                0.89857,                0.68604,                 0.8009,                 0.8229,                0.56158,                0.69529,                0.81122,                0.83753,                0.48939,                0.89714,                 1.3111,                0.72304,                0.93957,              0.0011602,              0.0011602,              0.0011602
                     79,                0.82862,                 1.1839,                 0.6601,                0.88901,                0.77548,                0.81856,                0.83164,                 0.5862,                0.77063,                0.80992,                0.83379,                0.51325,                0.85103,                 1.2965,                0.71188,                0.92047,              0.0011567,              0.0011567,              0.0011567
                     80,                0.77343,                 1.0738,                 0.6623,                0.87732,                0.74064,                0.80615,                0.82957,                0.57211,                0.75933,                0.82261,                0.85006,                0.50567,                0.87703,                 1.3002,                0.73345,                0.92517,              0.0011531,              0.0011531,              0.0011531
                     81,                0.85104,                 1.1962,                0.63834,                0.88038,                0.80516,                0.78218,                0.83275,                0.56057,                0.81276,                0.78976,                0.84191,                0.51678,                0.90997,                 1.3273,                0.80803,                 0.9362,              0.0011496,              0.0011496,              0.0011496
                     82,                0.81555,                 1.1533,                0.62244,                0.87253,                 0.7526,                0.83386,                0.82013,                0.57643,                0.77943,                 0.8307,                 0.8563,                0.50012,                0.87962,                 1.3526,                0.74878,                0.93593,              0.0011461,              0.0011461,              0.0011461
                     83,                0.83476,                 1.1747,                0.65327,                0.89221,                0.82111,                0.76749,                  0.825,                0.56198,                0.75504,                0.83504,                0.83981,                0.50584,                0.88039,                 1.3297,                0.70495,                0.93406,              0.0011425,              0.0011425,              0.0011425
                     84,                0.78278,                 1.1421,                 0.6388,                0.88126,                0.81458,                0.78655,                0.81945,                0.57268,                0.82953,                0.80356,                0.84013,                0.49916,                0.90844,                 1.2929,                0.73377,                  0.935,               0.001139,               0.001139,               0.001139
                     85,                0.81387,                 1.1761,                0.65468,                0.89662,                0.82472,                0.80674,                0.82882,                0.55882,                0.79011,                0.82129,                0.82477,                0.49368,                0.90624,                  1.347,                0.76389,                0.93445,              0.0011354,              0.0011354,              0.0011354
                     86,                0.82672,                 1.1697,                0.63342,                0.90167,                0.77086,                0.81125,                0.81969,                0.56185,                0.75259,                0.79922,                0.79733,                0.49431,                0.86782,                 1.2668,                0.73073,                0.92602,              0.0011319,              0.0011319,              0.0011319
                     87,                0.76398,                 1.0831,                0.58933,                0.87341,                0.70486,                0.86634,                0.82828,                0.57642,                 0.7147,                0.85593,                0.84254,                0.48873,                0.90305,                  1.307,                0.72301,                0.93856,              0.0011284,              0.0011284,              0.0011284
                     88,                0.79606,                 1.1596,                0.61664,                0.88295,                0.79277,                0.71499,                0.79772,                0.56212,                0.79743,                0.73094,                0.81154,                0.49612,                0.86255,                 1.2957,                0.74759,                0.93229,              0.0011248,              0.0011248,              0.0011248
                     89,                0.80609,                 1.1452,                0.61657,                0.88308,                0.73135,                0.84153,                0.82244,                0.57245,                0.72775,                 0.8368,                0.83804,                0.51675,                0.89429,                 1.3692,                 0.7404,                0.92836,              0.0011213,              0.0011213,              0.0011213
                     90,                0.82601,                 1.1658,                 0.6343,                0.89127,                0.79593,                0.74295,                0.81269,                 0.5612,                 0.8231,                0.76286,                 0.8387,                0.52515,                0.88763,                 1.3323,                0.71736,                0.93674,              0.0011178,              0.0011178,              0.0011178
                     91,                0.85218,                 1.1894,                0.63815,                0.88503,                0.83213,                0.73027,                0.81359,                0.55597,                0.83213,                0.73027,                0.81948,                0.48336,                0.92835,                 1.3858,                0.72188,                0.94844,              0.0011142,              0.0011142,              0.0011142
                     92,                0.78576,                 1.1676,                0.59274,                0.88145,                0.79923,                0.80876,                0.83239,                0.56891,                0.81643,                0.79483,                0.84308,                0.50259,                0.90512,                 1.3918,                0.71119,                0.94466,              0.0011107,              0.0011107,              0.0011107
                     93,                0.80583,                 1.1335,                0.64336,                 0.8781,                0.74331,                0.85837,                0.82101,                 0.5778,                0.74868,                0.86919,                 0.8413,                0.49381,                0.87132,                 1.3538,                0.69498,                0.93749,              0.0011072,              0.0011072,              0.0011072
                     94,                0.79176,                 1.1495,                0.58201,                0.88751,                0.78372,                0.83071,                0.81686,                0.55995,                0.76541,                0.86963,                0.83585,                0.50432,                0.93057,                 1.2597,                0.70015,                0.95201,              0.0011036,              0.0011036,              0.0011036
                     95,                0.78979,                 1.1349,                0.58743,                0.88924,                0.83551,                0.76231,                0.83747,                0.54861,                0.84555,                0.77939,                0.85687,                0.49621,                0.98498,                 1.4317,                0.71252,                0.95592,              0.0011001,              0.0011001,              0.0011001
                     96,                0.80984,                 1.1458,                0.61412,                0.87942,                0.80702,                0.75121,                0.79518,                0.56191,                0.83098,                0.77257,                0.83625,                0.50016,                0.88089,                 1.2969,                0.73136,                0.93129,              0.0010965,              0.0010965,              0.0010965
                     97,                0.78067,                 1.1241,                0.60028,                0.87122,                 0.7725,                0.83139,                0.83185,                0.55255,                0.76536,                0.83966,                0.84716,                 0.4875,                 0.9877,                 1.3527,                0.72233,                0.95575,               0.001093,               0.001093,               0.001093
                     98,                0.81744,                 1.1694,                0.59626,                0.87822,                0.74448,                0.84135,                0.82845,                0.57492,                0.77085,                0.86616,                0.86457,                0.49795,                0.91258,                  1.331,                0.69235,                0.94964,              0.0010895,              0.0010895,              0.0010895
                     99,                0.81353,                 1.1059,                0.58758,                0.87971,                0.73666,                0.82825,                0.82294,                0.58698,                0.75529,                0.84878,                0.84536,                0.51488,                0.85308,                 1.3431,                0.69632,                0.93774,              0.0010859,              0.0010859,              0.0010859
                    100,                0.82017,                   1.18,                0.61664,                0.87665,                0.81307,                0.78366,                0.83237,                0.57151,                0.81307,                0.78366,                0.84382,                 0.5074,                0.89053,                 1.3516,                0.69299,                0.92454,              0.0010824,              0.0010824,              0.0010824
                    101,                0.75417,                 1.0686,                0.55031,                0.87352,                0.82195,                0.80925,                0.84067,                0.57761,                0.82779,                0.81416,                0.85425,                0.53346,                0.87524,                 1.2803,                0.67602,                0.93694,              0.0010789,              0.0010789,              0.0010789
                    102,                0.77299,                 1.1377,                0.59462,                0.86916,                0.83632,                0.75683,                0.84368,                0.58152,                0.86051,                0.76499,                0.85679,                0.51324,                0.90674,                 1.2919,                0.69443,                0.93444,              0.0010753,              0.0010753,              0.0010753
                    103,                0.76939,                 1.1182,                0.55679,                0.87255,                0.82454,                0.75915,                0.83064,                0.57606,                0.83195,                0.76406,                0.84591,                0.49997,                 0.9205,                 1.3554,                0.75168,                0.93529,              0.0010718,              0.0010718,              0.0010718
                    104,                0.77734,                 1.0775,                0.57756,                0.87752,                0.77491,                 0.8013,                0.81642,                0.57212,                0.78134,                0.81165,                0.84691,                0.50566,                0.91465,                 1.3284,                0.74351,                0.95766,              0.0010682,              0.0010682,              0.0010682
                    105,                0.80305,                 1.1348,                0.62787,                0.90694,                0.82943,                0.75849,                0.81977,                0.54822,                0.80694,                0.80637,                0.85321,                0.47173,                0.98809,                 1.3976,                0.72296,                0.97162,              0.0010647,              0.0010647,              0.0010647
                    106,                0.75627,                 1.0523,                0.55482,                0.86304,                0.81697,                0.75104,                0.82018,                0.57741,                0.82768,                0.76114,                0.83535,                0.50242,                0.90229,                 1.3319,                0.70575,                0.94172,              0.0010612,              0.0010612,              0.0010612
